Common Name,Scientific Name,Date,Time,UTM Easting,UTM Northing,Location Name,Number Recorded,Sex,Observer's name,Comments,Habitat Type
Nom commun,Nom scientifique,Date,Heure,UTM vers l’est,UTM vers le nord,Nom de l’emplacement,Numbre consigné,Sexe,Nom de l’observateur,Commentaires,Type d’habitat
Red-eyed Vireo,Vireo olivaceus,10/07/2010,7:22,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,10/07/2010,7:36,589211,4967707,Huron Trail Stn D,2,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,10/07/2010,7:50,589213,4967957,Huron Trail Stn E,2,Unknown,Andrew Promaine,,Hardwood Forest
Wood Thrush,Hylocichla mustelina,10/07/2010,7:06,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
Wood Thrush,Hylocichla mustelina,10/07/2010,7:36,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Woodpecker spp.,Picidae,10/07/2010,6:52,589433,4966993,Huron Trail Stn A,1,Unknown,Andrew Promaine,,Hardwood Forest
Woodpecker spp.,Picidae,10/07/2010,7:22,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
Yellow Rumped Warbler,Dendroica coronata,10/07/2010,7:36,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
American Crow,Corvus brachyrhynchos,14/06/2011,7:41,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
American Redstart,Setophaga ruticilla,14/06/2011,7:41,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
American Redstart,Setophaga ruticilla,14/06/2011,8:05,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
American Redstart,Setophaga ruticilla,14/06/2011,8:10,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
American Robin,Turdus migratorius,14/06/2011,7:53,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
Black-throated Blue Warbler,Dendroica caerulescens,14/06/2011,7:53,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
Black-throated Green Warbler,Dendroica virens,14/06/2011,8:05,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Black-throated Green Warbler,Dendroica virens,14/06/2011,8:10,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
Eastern Wood-Pewee,Contopus virens,14/06/2011,7:25,589433,4966993,Huron Trail Stn A,1,Unknown,Andrew Promaine,,Hardwood Forest
Eastern Wood-Pewee,Contopus virens,14/06/2011,7:41,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
Eastern Wood-Pewee,Contopus virens,14/06/2011,7:53,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
Eastern Wood-Pewee,Contopus virens,14/06/2011,8:05,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,14/06/2011,7:25,589433,4966993,Huron Trail Stn A,3,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,14/06/2011,7:41,589340,4967225,Huron Trail Stn B,2,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,14/06/2011,7:53,589260,4967462,Huron Trail Stn C,2,Unknown,Andrew Promaine,,Hardwood Forest
Philadelphia Vireo,Vireo philadelphicus,14/06/2011,7:53,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
Pileated Woodpecker,Dryocopus pileatus,14/06/2011,7:41,589340,4967225,Huron Trail Stn B,2,Unknown,Andrew Promaine,,Hardwood Forest
Pileated Woodpecker,Dryocopus pileatus,14/06/2011,8:10,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,14/06/2011,7:25,589433,4966993,Huron Trail Stn A,3,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,14/06/2011,7:41,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,14/06/2011,7:53,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,14/06/2011,8:05,589211,4967707,Huron Trail Stn D,2,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,14/06/2011,8:10,589213,4967957,Huron Trail Stn E,2,Unknown,Andrew Promaine,,Hardwood Forest
Ring-billed Gull,Larus delawarensis,14/06/2011,7:25,589433,4966993,Huron Trail Stn A,1,Unknown,Andrew Promaine,,Hardwood Forest
Ring-billed Gull,Larus delawarensis,14/06/2011,8:05,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Wood Thrush,Hylocichla mustelina,14/06/2011,8:10,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
Woodpecker spp.,Picidae,14/06/2011,7:25,589433,4966993,Huron Trail Stn A,2,Unknown,Andrew Promaine,,Hardwood Forest
Woodpecker spp.,Picidae,14/06/2011,7:53,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
American Crow,Corvus brachyrhynchos,07/07/2011,7:18,589433,4966993,Huron Trail Stn A,1,Unknown,Andrew Promaine,,Hardwood Forest
American Crow,Corvus brachyrhynchos,07/07/2011,7:30,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
American Redstart,Setophaga ruticilla,07/07/2011,7:18,589433,4966993,Huron Trail Stn A,1,Unknown,Andrew Promaine,,Hardwood Forest
American Redstart,Setophaga ruticilla,07/07/2011,7:41,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
American Redstart,Setophaga ruticilla,07/07/2011,7:52,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
American Redstart,Setophaga ruticilla,07/07/2011,8:03,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
Black-throated Blue Warbler,Dendroica caerulescens,07/07/2011,8:03,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
Black-throated Green Warbler,Dendroica virens,07/07/2011,7:18,589433,4966993,Huron Trail Stn A,1,Unknown,Andrew Promaine,,Hardwood Forest
Eastern Wood-Pewee,Contopus virens,07/07/2011,7:41,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,07/07/2011,7:18,589433,4966993,Huron Trail Stn A,2,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,07/07/2011,7:30,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,07/07/2011,7:41,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,07/07/2011,7:18,589433,4966993,Huron Trail Stn A,2,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,07/07/2011,7:30,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,07/07/2011,7:41,589260,4967462,Huron Trail Stn C,3,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,07/07/2011,7:52,589211,4967707,Huron Trail Stn D,3,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,07/07/2011,8:03,589213,4967957,Huron Trail Stn E,4,Unknown,Andrew Promaine,,Hardwood Forest
Wood Thrush,Hylocichla mustelina,07/07/2011,7:52,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Woodpecker spp.,Picidae,07/07/2011,7:30,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
American Robin,Turdus migratorius,13/06/2013,8:12,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
American Robin,Turdus migratorius,13/06/2013,8:24,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
American Robin,Turdus migratorius,13/06/2013,8:36,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
American Robin,Turdus migratorius,13/06/2013,8:50,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
American Woodcock,Scolopax minor,13/06/2013,8:36,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Black-billed Cuckoo,Coccyzus erythropthalmus,13/06/2013,8:50,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
Black-capped Chickadee,Poecile atricapillus,13/06/2013,8:36,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Black-throated Blue Warbler,Dendroica caerulescens,13/06/2013,8:12,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
Black-throated Green Warbler,Dendroica virens,13/06/2013,8:12,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
Eastern Wood-Pewee,Contopus virens,13/06/2013,8:00,589433,4966993,Huron Trail Stn A,1,Unknown,Andrew Promaine,,Hardwood Forest
Eastern Wood-Pewee,Contopus virens,13/06/2013,8:12,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
Eastern Wood-Pewee,Contopus virens,13/06/2013,8:36,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,13/06/2013,8:00,589433,4966993,Huron Trail Stn A,2,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,13/06/2013,8:24,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,13/06/2013,8:36,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,13/06/2013,8:50,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
Philadelphia Vireo,Vireo philadelphicus,13/06/2013,8:36,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,13/06/2013,8:00,589433,4966993,Huron Trail Stn A,1,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,13/06/2013,8:12,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,13/06/2013,8:24,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,13/06/2013,8:36,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,13/06/2013,8:50,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
Ruby-crowned Kinglet,Regulus calendula,13/06/2013,8:50,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
Unidentified Woodpecker,,13/06/2013,8:12,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
Veery,Catharus fuscescens,13/06/2013,8:12,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
Winter Wren,Troglodytes hiemalis,13/06/2013,8:00,589433,4966993,Huron Trail Stn A,1,Unknown,Andrew Promaine,,Hardwood Forest
Winter Wren,Troglodytes hiemalis,13/06/2013,8:24,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
Winter Wren,Troglodytes hiemalis,13/06/2013,8:50,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
Wood Thrush,Hylocichla mustelina,13/06/2013,8:12,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
Wood Thrush,Hylocichla mustelina,13/06/2013,8:36,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
American Robin,Turdus migratorius,11/07/2013,8:03,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
American Robin,Turdus migratorius,11/07/2013,8:15,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Black-throated Blue Warbler,Dendroica caerulescens,11/07/2013,8:03,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
Black-throated Green Warbler,Dendroica virens,11/07/2013,8:15,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Downy Woodpecker,Picoides pubescens,11/07/2013,8:15,589211,4967707,Huron Trail Stn D,2,Unknown,Andrew Promaine,,Hardwood Forest
Downy Woodpecker,Picoides pubescens,11/07/2013,8:27,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
Eastern Wood-Pewee,Contopus virens,11/07/2013,7:40,589433,4966993,Huron Trail Stn A,2,Unknown,Andrew Promaine,,Hardwood Forest
Hairy Woodpecker,Picoides villosus,11/07/2013,8:15,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Hernit Thrush,Catharus guttatus,11/07/2013,7:40,589433,4966993,Huron Trail Stn A,1,Unknown,Andrew Promaine,,Hardwood Forest
Hernit Thrush,Catharus guttatus,11/07/2013,8:03,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
Hernit Thrush,Catharus guttatus,11/07/2013,8:15,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,11/07/2013,7:40,589433,4966993,Huron Trail Stn A,1,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,11/07/2013,7:52,589340,4967225,Huron Trail Stn B,2,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,11/07/2013,8:03,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,11/07/2013,8:27,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
Pileated Woodpecker,Dryocopus pileatus,11/07/2013,7:52,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
Pileated Woodpecker,Dryocopus pileatus,11/07/2013,8:15,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,11/07/2013,7:52,589340,4967225,Huron Trail Stn B,2,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,11/07/2013,8:03,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,11/07/2013,8:15,589211,4967707,Huron Trail Stn D,2,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,11/07/2013,8:27,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
Ruby-throated Hummingbird,Archilochus colubris,11/07/2013,8:27,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
American Redstart,Setophaga ruticilla,17/06/2014,8:08,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Barred Owl,Strix varia,17/06/2014,8:08,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Black-capped Chickadee,Poecile atricapillus,17/06/2014,8:20,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
Black-throated Green Warbler,Dendroica virens,17/06/2014,7:33,589433,4966993,Huron Trail Stn A,1,Unknown,Andrew Promaine,,Hardwood Forest
Black-throated Green Warbler,Dendroica virens,17/06/2014,7:56,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
Blue Jay,Cyanocitta cristata,17/06/2014,7:45,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
Blue Jay,Cyanocitta cristata,17/06/2014,7:56,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
Cestnut-sided Warbler,Dendroica pensylvanica,17/06/2014,7:33,589433,4966993,Huron Trail Stn A,1,Unknown,Andrew Promaine,,Hardwood Forest
Eastern Wood-Pewee,Contopus virens,17/06/2014,7:45,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
Eastern Wood-Pewee,Contopus virens,17/06/2014,7:56,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
Eastern Wood-Pewee,Contopus virens,17/06/2014,8:08,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Gray Catbird,Dumetella carolinensis,17/06/2014,8:20,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
Hernit Thrush,Catharus guttatus,17/06/2014,8:20,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,17/06/2014,7:33,589433,4966993,Huron Trail Stn A,2,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,17/06/2014,7:45,589340,4967225,Huron Trail Stn B,2,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,17/06/2014,7:56,589260,4967462,Huron Trail Stn C,2,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,17/06/2014,8:08,589211,4967707,Huron Trail Stn D,2,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,17/06/2014,8:20,589213,4967957,Huron Trail Stn E,2,Unknown,Andrew Promaine,,Hardwood Forest
Pine Warbler,Setophaga pinus,17/06/2014,7:33,589433,4966993,Huron Trail Stn A,1,Unknown,Andrew Promaine,,Hardwood Forest
Red-breasted Merganser,Mergus serrator,17/06/2014,8:20,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,17/06/2014,7:45,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,17/06/2014,7:56,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,17/06/2014,8:08,589211,4967707,Huron Trail Stn D,3,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,17/06/2014,8:20,589213,4967957,Huron Trail Stn E,2,Unknown,Andrew Promaine,,Hardwood Forest
Unidentified Gull,,17/06/2014,7:33,589433,4966993,Huron Trail Stn A,1,Unknown,Andrew Promaine,,Hardwood Forest
Veery,Catharus fuscescens,17/06/2014,7:33,589433,4966993,Huron Trail Stn A,2,Unknown,Andrew Promaine,,Hardwood Forest
Veery,Catharus fuscescens,17/06/2014,7:56,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
American Crow,Corvus brachyrhynchos,14/07/2014,7:15,589433,4966993,Huron Trail Stn A,1,Unknown,Andrew Promaine,,Hardwood Forest
American Crow,Corvus brachyrhynchos,14/07/2014,7:38,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
Black-throated Green Warbler,Dendroica virens,14/07/2014,7:15,589433,4966993,Huron Trail Stn A,1,Unknown,Andrew Promaine,,Hardwood Forest
Black-throated Green Warbler,Dendroica virens,14/07/2014,7:27,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
Black-throated Green Warbler,Dendroica virens,14/07/2014,7:38,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
Black-throated Green Warbler,Dendroica virens,14/07/2014,7:50,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Cestnut-sided Warbler,Dendroica pensylvanica,14/07/2014,7:50,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Cestnut-sided Warbler,Dendroica pensylvanica,14/07/2014,8:01,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
Eastern Wood-Pewee,Contopus virens,14/07/2014,7:27,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
Eastern Wood-Pewee,Contopus virens,14/07/2014,7:50,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Hairy Woodpecker,Picoides villosus,14/07/2014,8:01,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,14/07/2014,7:15,589433,4966993,Huron Trail Stn A,1,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,14/07/2014,7:38,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,14/07/2014,7:50,589211,4967707,Huron Trail Stn D,2,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,14/07/2014,8:01,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
Pileated Woodpecker,Dryocopus pileatus,14/07/2014,8:01,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,14/07/2014,7:15,589433,4966993,Huron Trail Stn A,2,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,14/07/2014,7:27,589340,4967225,Huron Trail Stn B,2,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,14/07/2014,7:38,589260,4967462,Huron Trail Stn C,2,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,14/07/2014,7:50,589211,4967707,Huron Trail Stn D,3,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,14/07/2014,8:01,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
Warbling Vireo,vireo gilvus,14/07/2014,8:01,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
Wood Thrush,Hylocichla mustelina,14/07/2014,7:15,589433,4966993,Huron Trail Stn A,1,Unknown,Andrew Promaine,,Hardwood Forest
Wood Thrush,Hylocichla mustelina,14/07/2014,7:27,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
Wood Thrush,Hylocichla mustelina,14/07/2014,7:38,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
American Redstart,Turdus migratorius,17/06/2015,8:16,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
American Robin,Turdus migratorius,17/06/2015,8:06,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Black-throated Blue Warbler,Dendroica caerulescens,17/06/2015,7:30,589433,4966993,Huron Trail Stn A,1,Unknown,Andrew Promaine,,Hardwood Forest
Black-throated Green Warbler,Dendroica virens,17/06/2015,8:06,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Black-throated Green Warbler,Dendroica virens,17/06/2015,8:16,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
Blue Jay,Cyanocitta cristata,17/06/2015,7:43,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
Blue Jay,Cyanocitta cristata,17/06/2015,8:06,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Eastern Wood-Pewee,Contopus virens,17/06/2015,7:43,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
Hairy Woodpecker,Picoides villosus,17/06/2015,7:43,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
Hairy Woodpecker,Picoides villosus,17/06/2015,8:16,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,17/06/2015,7:30,589433,4966993,Huron Trail Stn A,1,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,17/06/2015,7:43,589340,4967225,Huron Trail Stn B,3,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,17/06/2015,7:55,589260,4967462,Huron Trail Stn C,3,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,17/06/2015,8:06,589211,4967707,Huron Trail Stn D,3,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,seriurus aurocapillus,17/06/2015,8:16,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
Pileated Woodpecker,Dryocopus pileatus,17/06/2015,7:30,589433,4966993,Huron Trail Stn A,1,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,17/06/2015,7:30,589433,4966993,Huron Trail Stn A,1,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,17/06/2015,7:43,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,17/06/2015,7:55,589260,4967462,Huron Trail Stn C,3,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,17/06/2015,8:06,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Red-eyed Vireo,Vireo olivaceus,17/06/2015,8:16,589213,4967957,Huron Trail Stn E,3,Unknown,Andrew Promaine,,Hardwood Forest
Unidentified Woodpecker,,17/06/2015,8:06,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Veery,Catharus fuscescens,17/06/2015,7:30,589433,4966993,Huron Trail Stn A,1,Unknown,Andrew Promaine,,Hardwood Forest
Veery,Catharus fuscescens,17/06/2015,7:43,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
Wood Thrush,Hylocichla mustelina,17/06/2015,7:55,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
American Redstart,Turdus migratorius,10/07/2015,8:25,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
Black-throated Green Warbler,Dendroica virens,10/07/2015,8:14,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Blue Jay,Cyanocitta cristata,10/07/2015,7:40,589433,4966993,Huron Trail Stn A,1,Unknown,Andrew Promaine,,Hardwood Forest
