Survey identifier ,Species Code,First recording section bird count,Second recording section bird count,Third recording section bird count,Total bird count,Transcriber comments,English common name ,French common name ,Scientfic name,AOU numberic code,Year of observation,Month of observation,Day of observation,Hour of observation,Minute of observation,Temperature in degrees Celcius,Wind speed,Gust wind speed,Cloud cover (percentage),First observer,Second observer,Third observer,Comments,Audio file name,Transcriber,Transcription start minute,Transcription start second,Recording quality,Noise comments,Survey area identifier ,Point number,2016 — present site identifier,2009-2013 site identifier,1998-2007 site identifier,Monitoring Era,Era of origin,Latitude,Longitude,UTM northing NAD83,UTM easting NAD83,SiteID Comments
Identificateur du relevé,Code d’espèce,Première période d’écoute pour le dénombrement d’oiseaux,Deuxième période d’écoute pour le dénombrement d’oiseaux,Troisième période d’écoute pour le dénombrement d’oiseaux,Nombre total d’oiseaux,Commentaires du transcripteur,Nom commun anglais,Nom commun français,Nom scientifique,Code numérique de l’AOU ,Année de l’observation,Mois de l’observation,Jour de l’observation,Heure de l’observation,Minute de l’observation,Température en degrés Celcius,Vitesse du vent,Vitesse du vent dans les rafales,Couverture nuageuse (pourcentage),Premier observateur,Deuxième observateur,Troisième observateur,,Nom du fichier audio,Transcripteur,Minute du début de la transcription,Seconde du début de la transcription,Qualité de l’enregistrement,Commentaires sur les bruits de fond,Identificateur de la zone du relevé,Numéro du point,Identificateur de site de 2016 à aujourd’hui,Identificateur de site 2013-2016,Identificateur de site 1998-2007,Période de surveillance,Période d’établissement du site,Latitude,Longitude,Ordonnée UTM ,Abscisse UTM ,Commentaires sur l’ID du site
01_1_17,LEFL,2,0,0,2,NA,Least Flycatcher,Moucherolle tchébec,Empidonax minimus,1191,2017,6,18,8,28,12,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,30,Moderate,Windy,1,1,BEA11,x,bea01,2016,1998,53.71015898,-112.875619,5952907.216,376209.1351,NA
01_1_17,YEWA,2,0,0,2,NA,Yellow Warbler,Paruline jaune,Setophaga petechia,1666,2017,6,18,8,28,12,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,30,Moderate,Windy,1,1,BEA11,x,bea01,2016,1998,53.71015898,-112.875619,5952907.216,376209.1351,NA
01_1_17,AMRO,1,0,0,1,NA,American Robin,Merle d'Amérique,Turdus migratorius,1554,2017,6,18,8,28,12,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,30,Moderate,Windy,1,1,BEA11,x,bea01,2016,1998,53.71015898,-112.875619,5952907.216,376209.1351,NA
01_1_17,CCSP,0,0,1,1,NA,Clay-colored Sparrow,Bruant des plaines,Spizella pallida,1836,2017,6,18,8,28,12,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,30,Moderate,Windy,1,1,BEA11,x,bea01,2016,1998,53.71015898,-112.875619,5952907.216,376209.1351,NA
01_1_17,COYE,1,0,0,1,NA,Common Yellowthroat,Paruline masquée,Geothlypis trichas,1650,2017,6,18,8,28,12,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,30,Moderate,Windy,1,1,BEA11,x,bea01,2016,1998,53.71015898,-112.875619,5952907.216,376209.1351,NA
01_1_17,NOFL,0,0,1,1,NA,Northern Flicker,Pic flamboyant,Colaptes auratus,1018,2017,6,18,8,28,12,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,30,Moderate,Windy,1,1,BEA11,x,bea01,2016,1998,53.71015898,-112.875619,5952907.216,376209.1351,NA
01_1_17,REVI,1,0,0,1,NA,Red-eyed Vireo,Viréo aux yeux rouges,Vireo olivaceus,1315,2017,6,18,8,28,12,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,30,Moderate,Windy,1,1,BEA11,x,bea01,2016,1998,53.71015898,-112.875619,5952907.216,376209.1351,NA
01_1_17,RUDU,0,0,1,1,NA,Ruddy Duck,Érismature rousse,Oxyura jamaicensis,76,2017,6,18,8,28,12,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,30,Moderate,Windy,1,1,BEA11,x,bea01,2016,1998,53.71015898,-112.875619,5952907.216,376209.1351,NA
01_1_17,WISN,1,0,0,1,NA,Wilson's Snipe,Bécassine de Wilson,Gallinago delicata,472,2017,6,18,8,28,12,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,30,Moderate,Windy,1,1,BEA11,x,bea01,2016,1998,53.71015898,-112.875619,5952907.216,376209.1351,NA
01_1_17,WTSP,1,0,0,1,NA,White-throated Sparrow,Bruant à gorge blanche,Zonotrichia albicollis,1861,2017,6,18,8,28,12,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,30,Moderate,Windy,1,1,BEA11,x,bea01,2016,1998,53.71015898,-112.875619,5952907.216,376209.1351,NA
01_2_17,BCCH,0,1,1,2,NA,Black-capped Chickadee,Mésange à tête noire,Poecile atricapillus,1396,2017,6,18,8,55,13,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,35,Moderate,"Windy, and Train",1,2,BEA12,x,bea03,2016,1998,53.70754852,-112.8703861,5952607.733,376546.8292,NA
01_2_17,REVI,2,0,0,2,NA,Red-eyed Vireo,Viréo aux yeux rouges,Vireo olivaceus,1315,2017,6,18,8,55,13,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,35,Moderate,"Windy, and Train",1,2,BEA12,x,bea03,2016,1998,53.70754852,-112.8703861,5952607.733,376546.8292,NA
01_2_17,YEWA,0,2,0,2,NA,Yellow Warbler,Paruline jaune,Setophaga petechia,1666,2017,6,18,8,55,13,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,35,Moderate,"Windy, and Train",1,2,BEA12,x,bea03,2016,1998,53.70754852,-112.8703861,5952607.733,376546.8292,NA
01_2_17,AMCR,1,0,0,1,NA,American Crow,Corneille d'Amérique,Corvus brachyrhynchos,1356,2017,6,18,8,55,13,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,35,Moderate,"Windy, and Train",1,2,BEA12,x,bea03,2016,1998,53.70754852,-112.8703861,5952607.733,376546.8292,NA
01_2_17,AMRO,0,0,1,1,NA,American Robin,Merle d'Amérique,Turdus migratorius,1554,2017,6,18,8,55,13,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,35,Moderate,"Windy, and Train",1,2,BEA12,x,bea03,2016,1998,53.70754852,-112.8703861,5952607.733,376546.8292,NA
01_2_17,BLJA,0,0,1,1,NA,Blue Jay,Geai bleu,Cyanocitta cristata,1345,2017,6,18,8,55,13,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,35,Moderate,"Windy, and Train",1,2,BEA12,x,bea03,2016,1998,53.70754852,-112.8703861,5952607.733,376546.8292,NA
01_2_17,CORA,1,0,0,1,NA,Common Raven,Grand Corbeau,Corvus corax,1367,2017,6,18,8,55,13,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,35,Moderate,"Windy, and Train",1,2,BEA12,x,bea03,2016,1998,53.70754852,-112.8703861,5952607.733,376546.8292,NA
01_2_17,COYE,0,0,1,1,NA,Common Yellowthroat,Paruline masquée,Geothlypis trichas,1650,2017,6,18,8,55,13,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,35,Moderate,"Windy, and Train",1,2,BEA12,x,bea03,2016,1998,53.70754852,-112.8703861,5952607.733,376546.8292,NA
01_2_17,LEFL,0,0,1,1,NA,Least Flycatcher,Moucherolle tchébec,Empidonax minimus,1191,2017,6,18,8,55,13,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,35,Moderate,"Windy, and Train",1,2,BEA12,x,bea03,2016,1998,53.70754852,-112.8703861,5952607.733,376546.8292,NA
01_2_17,MALL,0,1,0,1,NA,Mallard,Canard colvert,Anas platyrhynchos,38,2017,6,18,8,55,13,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,35,Moderate,"Windy, and Train",1,2,BEA12,x,bea03,2016,1998,53.70754852,-112.8703861,5952607.733,376546.8292,NA
01_2_17,RWBL,1,0,0,1,NA,Red-winged Blackbird,Carouge à épaulettes,Agelaius phoeniceus,1919,2017,6,18,8,55,13,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,35,Moderate,"Windy, and Train",1,2,BEA12,x,bea03,2016,1998,53.70754852,-112.8703861,5952607.733,376546.8292,NA
01_2_17,SOSP,0,1,0,1,NA,Song Sparrow,Bruant chanteur,Melospiza melodia,1857,2017,6,18,8,55,13,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,35,Moderate,"Windy, and Train",1,2,BEA12,x,bea03,2016,1998,53.70754852,-112.8703861,5952607.733,376546.8292,NA
01_2_17,WTSP,0,1,0,1,NA,White-throated Sparrow,Bruant à gorge blanche,Zonotrichia albicollis,1861,2017,6,18,8,55,13,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,35,Moderate,"Windy, and Train",1,2,BEA12,x,bea03,2016,1998,53.70754852,-112.8703861,5952607.733,376546.8292,NA
01_3_17,LEFL,2,0,0,2,NA,Least Flycatcher,Moucherolle tchébec,Empidonax minimus,1191,2017,6,14,6,23,12,0,NA,100,BRMI,EMDO,SVOG,NA,NA,C,0,35,Moderate,Windy and Light Rain,1,3,BEA13,x,bea05,2016,1998,53.70819622,-112.8640342,5952668.766,376967.9296,NA
01_3_17,YEWA,2,0,0,2,NA,Yellow Warbler,Paruline jaune,Setophaga petechia,1666,2017,6,14,6,23,12,0,NA,100,BRMI,EMDO,SVOG,NA,NA,C,0,35,Moderate,Windy and Light Rain,1,3,BEA13,x,bea05,2016,1998,53.70819622,-112.8640342,5952668.766,376967.9296,NA
01_3_17,ALFL,1,0,0,1,NA,Alder Flycatcher,Moucherolle des aulnes,Empidonax alnorum,1188,2017,6,14,6,23,12,0,NA,100,BRMI,EMDO,SVOG,NA,NA,C,0,35,Moderate,Windy and Light Rain,1,3,BEA13,x,bea05,2016,1998,53.70819622,-112.8640342,5952668.766,376967.9296,NA
01_3_17,BHCO,1,0,0,1,NA,Brown-headed Cowbird,Vacher à tête brune,Molothrus ater,1943,2017,6,14,6,23,12,0,NA,100,BRMI,EMDO,SVOG,NA,NA,C,0,35,Moderate,Windy and Light Rain,1,3,BEA13,x,bea05,2016,1998,53.70819622,-112.8640342,5952668.766,376967.9296,NA
01_3_17,PHVI,1,0,0,1,NA,Philadelphia Vireo,Viréo de Philadelphie,Vireo philadelphicus,1314,2017,6,14,6,23,12,0,NA,100,BRMI,EMDO,SVOG,NA,NA,C,0,35,Moderate,Windy and Light Rain,1,3,BEA13,x,bea05,2016,1998,53.70819622,-112.8640342,5952668.766,376967.9296,NA
01_3_17,RBGR,1,0,0,1,NA,Rose-breasted Grosbeak,Cardinal à poitrine rose,Pheucticus ludovicianus,1903,2017,6,14,6,23,12,0,NA,100,BRMI,EMDO,SVOG,NA,NA,C,0,35,Moderate,Windy and Light Rain,1,3,BEA13,x,bea05,2016,1998,53.70819622,-112.8640342,5952668.766,376967.9296,NA
01_3_17,REVI,1,0,0,1,NA,Red-eyed Vireo,Viréo aux yeux rouges,Vireo olivaceus,1315,2017,6,14,6,23,12,0,NA,100,BRMI,EMDO,SVOG,NA,NA,C,0,35,Moderate,Windy and Light Rain,1,3,BEA13,x,bea05,2016,1998,53.70819622,-112.8640342,5952668.766,376967.9296,NA
01_3_17,SOSP,1,0,0,1,NA,Song Sparrow,Bruant chanteur,Melospiza melodia,1857,2017,6,14,6,23,12,0,NA,100,BRMI,EMDO,SVOG,NA,NA,C,0,35,Moderate,Windy and Light Rain,1,3,BEA13,x,bea05,2016,1998,53.70819622,-112.8640342,5952668.766,376967.9296,NA
01_3_17,WEWP,1,0,0,1,NA,Western Wood-Pewee,Pioui de l'Ouest,Contopus sordidulus,1179,2017,6,14,6,23,12,0,NA,100,BRMI,EMDO,SVOG,NA,NA,C,0,35,Moderate,Windy and Light Rain,1,3,BEA13,x,bea05,2016,1998,53.70819622,-112.8640342,5952668.766,376967.9296,NA
01_3_17,WTSP,1,0,0,1,NA,White-throated Sparrow,Bruant à gorge blanche,Zonotrichia albicollis,1861,2017,6,14,6,23,12,0,NA,100,BRMI,EMDO,SVOG,NA,NA,C,0,35,Moderate,Windy and Light Rain,1,3,BEA13,x,bea05,2016,1998,53.70819622,-112.8640342,5952668.766,376967.9296,NA
01_4_17,LEFL,2,0,0,2,NA,Least Flycatcher,Moucherolle tchébec,Empidonax minimus,1191,2017,6,14,5,47,12,2,NA,90,BRMI,EMDO,SVOG,NA,NA,C,0,30,Moderate,"Traffic Noise, Elk calves calling",1,4,BEA14,x,x,2016,2016,53.71093771,-112.8579939,5952963.283,377374.5432,NA
01_4_17,YEWA,2,0,0,2,NA,Yellow Warbler,Paruline jaune,Setophaga petechia,1666,2017,6,14,5,47,12,2,NA,90,BRMI,EMDO,SVOG,NA,NA,C,0,30,Moderate,"Traffic Noise, Elk calves calling",1,4,BEA14,x,x,2016,2016,53.71093771,-112.8579939,5952963.283,377374.5432,NA
01_4_17,AMRO,0,0,1,1,NA,American Robin,Merle d'Amérique,Turdus migratorius,1554,2017,6,14,5,47,12,2,NA,90,BRMI,EMDO,SVOG,NA,NA,C,0,30,Moderate,"Traffic Noise, Elk calves calling",1,4,BEA14,x,x,2016,2016,53.71093771,-112.8579939,5952963.283,377374.5432,NA
01_4_17,AMRO,1,0,0,1,NA,American Robin,Merle d'Amérique,Turdus migratorius,1554,2017,6,14,5,47,12,2,NA,90,BRMI,EMDO,SVOG,NA,NA,C,0,30,Moderate,"Traffic Noise, Elk calves calling",1,4,BEA14,x,x,2016,2016,53.71093771,-112.8579939,5952963.283,377374.5432,NA
01_4_17,BAOR,1,0,0,1,NA,Baltimore Oriole,Oriole de Baltimore,Icterus galbula,1968,2017,6,14,5,47,12,2,NA,90,BRMI,EMDO,SVOG,NA,NA,C,0,30,Moderate,"Traffic Noise, Elk calves calling",1,4,BEA14,x,x,2016,2016,53.71093771,-112.8579939,5952963.283,377374.5432,NA
01_4_17,CANG,1,0,0,1,NA,Canada Goose,Bernache du Canada,Branta canadensis,23,2017,6,14,5,47,12,2,NA,90,BRMI,EMDO,SVOG,NA,NA,C,0,30,Moderate,"Traffic Noise, Elk calves calling",1,4,BEA14,x,x,2016,2016,53.71093771,-112.8579939,5952963.283,377374.5432,NA
01_4_17,REVI,1,0,0,1,NA,Red-eyed Vireo,Viréo aux yeux rouges,Vireo olivaceus,1315,2017,6,14,5,47,12,2,NA,90,BRMI,EMDO,SVOG,NA,NA,C,0,30,Moderate,"Traffic Noise, Elk calves calling",1,4,BEA14,x,x,2016,2016,53.71093771,-112.8579939,5952963.283,377374.5432,NA
01_4_17,WEWP,1,0,0,1,NA,Western Wood-Pewee,Pioui de l'Ouest,Contopus sordidulus,1179,2017,6,14,5,47,12,2,NA,90,BRMI,EMDO,SVOG,NA,NA,C,0,30,Moderate,"Traffic Noise, Elk calves calling",1,4,BEA14,x,x,2016,2016,53.71093771,-112.8579939,5952963.283,377374.5432,NA
01_4_17,YBSA,1,0,0,1,NA,Yellow-bellied Sapsucker,Pic maculé,Sphyrapicus varius,995,2017,6,14,5,47,12,2,NA,90,BRMI,EMDO,SVOG,NA,NA,C,0,30,Moderate,"Traffic Noise, Elk calves calling",1,4,BEA14,x,x,2016,2016,53.71093771,-112.8579939,5952963.283,377374.5432,NA
02_1_17,WTSP,3,0,0,3,NA,White-throated Sparrow,Bruant à gorge blanche,Zonotrichia albicollis,1861,2017,6,29,5,7,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,40,Good,Train goes by 4 min.,2,1,BOR21,x,x,2016,2016,53.7061873,-112.8045309,5952343.929,380889.2939,NA
02_1_17,CHSP,1,1,0,2,NA,Chipping Sparrow,Bruant familier,Spizella passerina,1835,2017,6,29,5,7,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,40,Good,Train goes by 4 min.,2,1,BOR21,x,x,2016,2016,53.7061873,-112.8045309,5952343.929,380889.2939,NA
02_1_17,FRGU,0,0,2,2,NA,Franklin's Gull,Mouette de Franklin,Leucophaeus pipixcan,495,2017,6,29,5,7,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,40,Good,Train goes by 4 min.,2,1,BOR21,x,x,2016,2016,53.7061873,-112.8045309,5952343.929,380889.2939,NA
02_1_17,PUMA,2,0,0,2,NA,Purple Martin,Hirondelle noire,Progne subis,1373,2017,6,29,5,7,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,40,Good,Train goes by 4 min.,2,1,BOR21,x,x,2016,2016,53.7061873,-112.8045309,5952343.929,380889.2939,NA
02_1_17,RBNU,1,0,1,2,NA,Red-breasted Nuthatch,Sittelle à poitrine rousse,Sitta canadensis,1409,2017,6,29,5,7,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,40,Good,Train goes by 4 min.,2,1,BOR21,x,x,2016,2016,53.7061873,-112.8045309,5952343.929,380889.2939,NA
02_1_17,RNGR,2,0,0,2,NA,Red-necked Grebe,Grèbe jougris,Podiceps grisegena,144,2017,6,29,5,7,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,40,Good,Train goes by 4 min.,2,1,BOR21,x,x,2016,2016,53.7061873,-112.8045309,5952343.929,380889.2939,NA
02_1_17,YRWA,1,0,1,2,NA,Yellow-rumped Warbler,Paruline à croupion jaune,Setophaga coronata,1673,2017,6,29,5,7,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,40,Good,Train goes by 4 min.,2,1,BOR21,x,x,2016,2016,53.7061873,-112.8045309,5952343.929,380889.2939,NA
02_1_17,BCCH,0,1,0,1,NA,Black-capped Chickadee,Mésange à tête noire,Poecile atricapillus,1396,2017,6,29,5,7,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,40,Good,Train goes by 4 min.,2,1,BOR21,x,x,2016,2016,53.7061873,-112.8045309,5952343.929,380889.2939,NA
02_1_17,BHCO,0,0,1,1,NA,Brown-headed Cowbird,Vacher à tête brune,Molothrus ater,1943,2017,6,29,5,7,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,40,Good,Train goes by 4 min.,2,1,BOR21,x,x,2016,2016,53.7061873,-112.8045309,5952343.929,380889.2939,NA
02_1_17,CANG,0,0,1,1,NA,Canada Goose,Bernache du Canada,Branta canadensis,23,2017,6,29,5,7,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,40,Good,Train goes by 4 min.,2,1,BOR21,x,x,2016,2016,53.7061873,-112.8045309,5952343.929,380889.2939,NA
02_1_17,COYE,1,0,0,1,NA,Common Yellowthroat,Paruline masquée,Geothlypis trichas,1650,2017,6,29,5,7,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,40,Good,Train goes by 4 min.,2,1,BOR21,x,x,2016,2016,53.7061873,-112.8045309,5952343.929,380889.2939,NA
02_1_17,HOWR,0,0,1,1,NA,House Wren,Troglodyte familier,Troglodytes aedon,1445,2017,6,29,5,7,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,40,Good,Train goes by 4 min.,2,1,BOR21,x,x,2016,2016,53.7061873,-112.8045309,5952343.929,380889.2939,NA
02_1_17,NOFL,0,1,0,1,NA,Northern Flicker,Pic flamboyant,Colaptes auratus,1018,2017,6,29,5,7,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,40,Good,Train goes by 4 min.,2,1,BOR21,x,x,2016,2016,53.7061873,-112.8045309,5952343.929,380889.2939,NA
02_1_17,PBGR,1,0,0,1,NA,Pied-billed Grebe,Grèbe à bec bigarré,Podilymbus podiceps,141,2017,6,29,5,7,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,40,Good,Train goes by 4 min.,2,1,BOR21,x,x,2016,2016,53.7061873,-112.8045309,5952343.929,380889.2939,NA
02_1_17,PISI,0,0,1,1,NA,Pine Siskin,Tarin des pins,Spinus pinus,2011,2017,6,29,5,7,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,40,Good,Train goes by 4 min.,2,1,BOR21,x,x,2016,2016,53.7061873,-112.8045309,5952343.929,380889.2939,NA
02_1_17,REVI,1,0,0,1,NA,Red-eyed Vireo,Viréo aux yeux rouges,Vireo olivaceus,1315,2017,6,29,5,7,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,40,Good,Train goes by 4 min.,2,1,BOR21,x,x,2016,2016,53.7061873,-112.8045309,5952343.929,380889.2939,NA
02_1_17,RWBL,1,0,0,1,NA,Red-winged Blackbird,Carouge à épaulettes,Agelaius phoeniceus,1919,2017,6,29,5,7,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,40,Good,Train goes by 4 min.,2,1,BOR21,x,x,2016,2016,53.7061873,-112.8045309,5952343.929,380889.2939,NA
02_1_17,SORA,1,0,0,1,NA,Sora,Marouette de Caroline,Porzana carolina,369,2017,6,29,5,7,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,40,Good,Train goes by 4 min.,2,1,BOR21,x,x,2016,2016,53.7061873,-112.8045309,5952343.929,380889.2939,NA
02_1_17,TEWA,1,0,0,1,NA,Tennessee Warbler,Paruline obscure,Oreothlypis peregrina,1632,2017,6,29,5,7,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,40,Good,Train goes by 4 min.,2,1,BOR21,x,x,2016,2016,53.7061873,-112.8045309,5952343.929,380889.2939,NA
02_1_17,WISN,0,0,1,1,NA,Wilson's Snipe,Bécassine de Wilson,Gallinago delicata,472,2017,6,29,5,7,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,40,Good,Train goes by 4 min.,2,1,BOR21,x,x,2016,2016,53.7061873,-112.8045309,5952343.929,380889.2939,NA
02_2_17,COYE,1,0,1,2,NA,Common Yellowthroat,Paruline masquée,Geothlypis trichas,1650,2017,6,29,6,1,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,42,Good,Good Recording,2,2,BOR22,x,x,2016,2016,53.70577377,-112.798123,5952287.208,381311.0546,NA
02_2_17,COYE,1,0,1,2,NA,Common Yellowthroat,Paruline masquée,Geothlypis trichas,1650,2017,6,29,6,1,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,42,Good,Coyotes on Recording,2,2,BOR22,x,x,2016,2016,53.70577377,-112.798123,5952287.208,381311.0546,NA
02_2_17,PUMA,0,0,2,2,NA,Purple Martin,Hirondelle noire,Progne subis,1373,2017,6,29,6,1,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,42,Good,Good Recording,2,2,BOR22,x,x,2016,2016,53.70577377,-112.798123,5952287.208,381311.0546,NA
02_2_17,PUMA,0,0,2,2,NA,Purple Martin,Hirondelle noire,Progne subis,1373,2017,6,29,6,1,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,42,Good,Coyotes on Recording,2,2,BOR22,x,x,2016,2016,53.70577377,-112.798123,5952287.208,381311.0546,NA
02_2_17,RBGR,2,0,0,2,NA,Rose-breasted Grosbeak,Cardinal à poitrine rose,Pheucticus ludovicianus,1903,2017,6,29,6,1,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,42,Good,Good Recording,2,2,BOR22,x,x,2016,2016,53.70577377,-112.798123,5952287.208,381311.0546,NA
02_2_17,RBGR,2,0,0,2,NA,Rose-breasted Grosbeak,Cardinal à poitrine rose,Pheucticus ludovicianus,1903,2017,6,29,6,1,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,42,Good,Coyotes on Recording,2,2,BOR22,x,x,2016,2016,53.70577377,-112.798123,5952287.208,381311.0546,NA
02_2_17,WTSP,2,0,0,2,NA,White-throated Sparrow,Bruant à gorge blanche,Zonotrichia albicollis,1861,2017,6,29,6,1,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,42,Good,Good Recording,2,2,BOR22,x,x,2016,2016,53.70577377,-112.798123,5952287.208,381311.0546,NA
02_2_17,WTSP,2,0,0,2,NA,White-throated Sparrow,Bruant à gorge blanche,Zonotrichia albicollis,1861,2017,6,29,6,1,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,42,Good,Coyotes on Recording,2,2,BOR22,x,x,2016,2016,53.70577377,-112.798123,5952287.208,381311.0546,NA
02_2_17,YEWA,2,0,0,2,NA,Yellow Warbler,Paruline jaune,Setophaga petechia,1666,2017,6,29,6,1,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,42,Good,Good Recording,2,2,BOR22,x,x,2016,2016,53.70577377,-112.798123,5952287.208,381311.0546,NA
02_2_17,YEWA,2,0,0,2,NA,Yellow Warbler,Paruline jaune,Setophaga petechia,1666,2017,6,29,6,1,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,42,Good,Coyotes on Recording,2,2,BOR22,x,x,2016,2016,53.70577377,-112.798123,5952287.208,381311.0546,NA
02_2_17,AMCR,1,0,0,1,NA,American Crow,Corneille d'Amérique,Corvus brachyrhynchos,1356,2017,6,29,6,1,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,42,Good,Good Recording,2,2,BOR22,x,x,2016,2016,53.70577377,-112.798123,5952287.208,381311.0546,NA
02_2_17,AMCR,1,0,0,1,NA,American Crow,Corneille d'Amérique,Corvus brachyrhynchos,1356,2017,6,29,6,1,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,42,Good,Coyotes on Recording,2,2,BOR22,x,x,2016,2016,53.70577377,-112.798123,5952287.208,381311.0546,NA
02_2_17,BAWW,0,1,0,1,NA,Black-and-white Warbler,Paruline noir et blanc,Mniotilta varia,1627,2017,6,29,6,1,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,42,Good,Good Recording,2,2,BOR22,x,x,2016,2016,53.70577377,-112.798123,5952287.208,381311.0546,NA
02_2_17,BAWW,0,1,0,1,NA,Black-and-white Warbler,Paruline noir et blanc,Mniotilta varia,1627,2017,6,29,6,1,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,42,Good,Coyotes on Recording,2,2,BOR22,x,x,2016,2016,53.70577377,-112.798123,5952287.208,381311.0546,NA
02_2_17,BHVI,0,0,1,1,NA,Blue-headed Vireo,Viréo à tête bleue,Vireo solitarius,1308,2017,6,29,6,1,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,42,Good,Good Recording,2,2,BOR22,x,x,2016,2016,53.70577377,-112.798123,5952287.208,381311.0546,NA
02_2_17,BHVI,0,0,1,1,NA,Blue-headed Vireo,Viréo à tête bleue,Vireo solitarius,1308,2017,6,29,6,1,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,42,Good,Coyotes on Recording,2,2,BOR22,x,x,2016,2016,53.70577377,-112.798123,5952287.208,381311.0546,NA
02_2_17,CEDW,1,0,0,1,NA,Cedar Waxwing,Jaseur d'Amérique,Bombycilla cedrorum,1602,2017,6,29,6,1,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,42,Good,Good Recording,2,2,BOR22,x,x,2016,2016,53.70577377,-112.798123,5952287.208,381311.0546,NA
02_2_17,CEDW,1,0,0,1,NA,Cedar Waxwing,Jaseur d'Amérique,Bombycilla cedrorum,1602,2017,6,29,6,1,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,42,Good,Coyotes on Recording,2,2,BOR22,x,x,2016,2016,53.70577377,-112.798123,5952287.208,381311.0546,NA
02_2_17,CHSP,0,1,0,1,NA,Chipping Sparrow,Bruant familier,Spizella passerina,1835,2017,6,29,6,1,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,42,Good,Good Recording,2,2,BOR22,x,x,2016,2016,53.70577377,-112.798123,5952287.208,381311.0546,NA
02_2_17,CHSP,0,1,0,1,NA,Chipping Sparrow,Bruant familier,Spizella passerina,1835,2017,6,29,6,1,8,0,NA,10,ANGE,ABIS,NA,NA,NA,C,0,42,Good,Coyotes on Recording,2,2,BOR22,x,x,2016,2016,53.70577377,-112.798123,5952287.208,381311.0546,NA
